profile,rationing,hypothesis,day,launches_mean,launches_std,n
v3_realistic,individual,H2,18,21.86,4.596,50
v3_realistic,individual,H2,19,21.74,3.825,50
v3_realistic,individual,H2,20,20.06,3.786,50
v3_realistic,individual,H2,21,19.3,3.239,50
v3_realistic,individual,H2,22,18.92,3.469,50
v3_realistic,individual,H2,23,19.12,3.514,50
v3_realistic,individual,H2,24,17.96,3.458,50
v3_realistic,individual,H2,25,18.44,4.06,50
v3_realistic,individual,H2,26,17.12,3.031,50
v3_realistic,individual,H2,27,14.34,3.404,50
v3_realistic,individual,H2,28,13.06,2.789,50
v3_realistic,individual,H2,29,11.62,3.019,50
v3_realistic,individual,H2,30,11.18,2.559,50
v3_realistic,individual,H2,31,9.78,2.64,50
v3_realistic,individual,H2,32,8.6,2.691,50
v3_realistic,individual,H2,33,7.86,2.771,50
v3_realistic,individual,H2,34,7.54,2.5,50
v3_realistic,individual,H2,35,6.1,2.11,50
v3_realistic,individual,H2,36,4.94,1.974,50
v3_realistic,individual,H2,37,4.82,2.16,50
v3_realistic,individual,H2,38,3.98,1.934,50
v3_realistic,individual,H2,39,3.12,1.57,50
v3_realistic,individual,H3,0,53.58,4.984,50
v3_realistic,individual,H3,1,53.5,5.453,50
v3_realistic,individual,H3,2,50.34,5.152,50
v3_realistic,individual,H3,3,43.66,6.231,50
v3_realistic,individual,H3,4,41.86,5.344,50
v3_realistic,individual,H3,5,38.26,4.668,50
v3_realistic,individual,H3,6,34.72,4.703,50
v3_realistic,individual,H3,7,33.74,4.349,50
v3_realistic,individual,H3,8,30.14,4.617,50
v3_realistic,individual,H3,9,30.28,5.303,50
v3_realistic,individual,H3,10,28.54,4.981,50
v3_realistic,individual,H3,11,29.04,3.914,50
v3_realistic,individual,H3,12,27.72,4.763,50
v3_realistic,individual,H3,13,26.48,3.956,50
v3_realistic,individual,H3,14,24.92,3.463,50
v3_realistic,individual,H3,15,24.24,4.259,50
v3_realistic,individual,H3,16,23.7,3.822,50
v3_realistic,individual,H3,17,22.28,3.699,50
v3_realistic,individual,H3,18,22.36,3.11,50
v3_realistic,individual,H3,19,20.96,4.919,50
v3_realistic,individual,H3,20,20.42,3.213,50
v3_realistic,individual,H3,21,18.98,3.771,50
v3_realistic,individual,H3,22,20.1,3.727,50
v3_realistic,individual,H3,23,20.02,3.397,50
